6#实际给料量,6#干燥炉排一段下漏渣溜管A温度,6#干燥炉排二段下漏渣溜管C温度,6#炉二次风电动调节门（后壁侧）,6#炉排烟SO2小时实时均值,6#炉活性炭流量累计,6#炉点火燃烧器A天然气压力,6#炉点火燃烧器B天然气压力,6#炉白班主汽流量,6#炉省煤器旁路烟气调节风门位置,6#炉省煤器灰斗出口烟气温度,6#炉粉尘折算小时均值,6#炉粉尘折算日均值,6#焚烧炉膛前温度,6#预计焚烧量
171.25461,144.03772,172.18347,9.988425,8.734542,2.66,250.81018,258.91202,502.02155,15.87037,207.87854,1.0960526,1.2568284,954.7524,406.3584
171.25461,143.94484,172.65578,10.048612,8.726284,2.66,250.81018,258.91202,502.14114,15.884259,207.83765,1.0960526,1.2568284,954.65753,406.3584
171.25461,143.85197,172.56133,10.034722,8.717065,2.66,250.81018,258.91202,502.26816,15.8773155,207.83765,1.0960526,1.2568284,954.65753,406.3584
171.25461,144.03772,172.12051,10.041667,8.707501,2.66,250.81018,258.93518,502.3951,15.861111,207.81041,1.0960526,1.2568284,954.65753,406.3584
171.25461,143.94484,172.56133,10.034722,8.698107,2.66,250.81018,258.91202,502.5196,15.884259,207.81041,1.0960526,1.2568284,954.7524,406.3584
171.25461,143.94484,172.65578,10.011574,8.689161,2.66,250.81018,258.91202,502.63913,15.884259,207.81041,1.0960526,1.2568284,954.7524,406.3584
171.25461,143.85197,172.9391,10.034722,8.679837,2.66,250.81018,258.91202,502.76355,15.868055,207.81041,1.0960526,1.2568284,954.65753,406.3584
171.25461,143.85197,172.75023,10.00463,8.669591,2.66,250.81018,258.93518,502.89282,15.8773155,207.81041,1.0960526,1.2568284,954.6259,406.3584
171.25461,143.94484,172.18347,10.032407,8.659221,2.66,250.81018,258.91202,503.017,15.87037,207.81041,1.0960526,1.2568284,954.6259,406.3584
171.25461,144.03772,172.02603,10.041667,8.649178,2.66,250.81018,258.8426,503.13605,15.8773155,207.81041,1.0960526,1.2568284,954.6259,406.3584
171.25461,144.03772,172.18347,10.041667,8.6280775,2.66,250.81018,258.91202,503.38654,15.87037,207.81041,1.0960526,1.2568284,954.6259,406.3584
171.25461,143.85197,172.65578,10.032407,8.617671,2.66,250.81018,258.8426,503.5105,19.386574,207.83765,1.0960526,1.2568284,954.6259,406.3584
171.25461,143.75916,172.18347,10.034722,8.607098,2.66,250.81018,258.91202,503.637,19.386574,207.83765,1.0960526,1.2568284,954.4677,406.3584
171.25461,144.03772,172.18347,10.041667,8.597442,2.66,250.74074,258.8426,503.7561,19.372684,207.83765,1.0960526,1.2568284,954.72076,406.3584
171.25461,143.75916,172.75023,10.041667,8.587673,2.66,250.74074,258.91202,503.8803,19.395832,207.83765,1.0960526,1.2568284,954.6259,406.3584
171.25461,143.75916,172.46687,9.997685,8.577568,2.66,250.81018,258.8426,504.00943,19.386574,207.87854,1.0960526,1.2568284,954.4677,406.3584
171.25461,143.75916,172.3724,10.041667,8.567771,2.66,250.81018,258.8426,504.13358,19.395832,207.87854,1.0960526,1.2568284,954.4677,406.3584
171.25461,143.75916,172.46687,10.034722,8.55801,2.66,250.78705,258.91202,504.2577,19.395832,207.87854,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.75916,172.65578,10.034722,8.548967,2.66,250.78705,258.8426,504.37692,19.395832,207.8922,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.75916,172.46687,10.048612,8.53957,2.66,250.81018,258.8426,504.50366,19.395832,207.8922,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.94484,171.93155,10.039351,8.530395,2.66,250.81018,258.8426,504.6281,19.38889,207.8922,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.75916,172.46687,10.027779,8.512404,2.66,250.78705,258.8426,504.87482,19.365742,207.9467,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.94484,171.83711,10.041667,8.503389,2.66,250.71758,258.8426,504.9995,19.365742,207.9467,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.94484,172.12051,9.997685,8.494239,2.66,250.71758,258.8426,505.12677,19.37037,207.97398,1.0960526,1.2568284,954.6259,406.3584
171.25461,143.85197,172.56133,10.034722,8.485115,2.66,250.74074,258.91202,505.25406,19.38889,207.9467,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.94484,172.12051,10.00463,8.476017,2.66,250.71758,258.8426,505.38144,19.55787,207.87854,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.57344,137.70164,10.034722,8.442775,2.66,250.71758,258.8426,505.87927,19.56713,207.53784,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.57344,172.46687,10.034722,8.435104,2.66,250.71758,258.8426,505.9994,19.560184,207.40155,1.0960526,1.2568284,954.2781,406.3584
171.25461,143.85197,171.83711,10.034722,8.426809,2.66,250.74074,258.91202,506.12457,19.537037,207.29251,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.57344,172.56133,10.025463,8.40992,2.66,250.64815,258.77316,506.3802,19.56713,207.08812,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.75916,172.46687,10.027779,8.401989,2.66,250.71758,258.8426,506.5081,19.56713,206.88371,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.85197,172.18347,10.041667,8.395146,2.66,250.71758,258.8426,506.62592,19.560184,206.65208,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.85197,172.12051,10.027779,8.388266,2.66,250.71758,258.8426,506.75378,19.560184,206.39323,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.57344,172.56133,10.048612,8.382049,2.66,250.71758,258.8426,506.87915,19.56713,206.13437,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.48059,172.56133,10.034722,8.3761425,2.66,250.71758,258.8426,507.0071,19.56713,205.91644,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.75916,172.02603,10.034722,8.370685,2.66,250.71758,258.77316,507.135,19.560184,205.71213,1.0960526,1.2568284,954.2781,406.3584
171.25461,143.85197,172.18347,10.00463,8.365964,2.66,250.71758,258.77316,507.25537,19.56713,205.53503,1.0960526,1.2568284,954.4361,406.3584
171.25461,143.85197,172.18347,10.00463,8.361314,2.66,250.71758,258.8426,507.3807,19.530092,205.358,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.57344,172.56133,10.041667,8.357001,2.66,250.71758,258.77316,507.506,19.546295,205.19458,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.75916,172.18347,10.00463,8.353143,2.66,250.71758,258.77316,507.63394,19.55787,205.07202,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.57344,172.18347,10.025463,8.347063,2.66,250.71758,258.77316,507.88235,19.56713,204.81328,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.48059,172.56133,10.034722,8.34427,2.66,250.71758,258.77316,508.0078,19.560184,204.67711,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.48059,172.65578,10.048612,8.341468,2.66,250.71758,258.77316,508.1333,19.56713,204.58179,1.0960526,1.2568284,954.15155,406.3584
171.25461,143.48059,172.3724,10.027779,8.338374,2.66,250.71758,258.77316,508.26126,19.56713,204.5001,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.75916,172.02603,10.027779,8.335139,2.66,250.71758,258.8426,508.38666,19.56713,204.39117,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.75916,172.3724,10.020833,8.331782,2.66,250.71758,258.77316,508.5096,19.564816,204.30951,1.0960526,1.2568284,954.34125,406.3584
171.25461,143.75916,172.3724,10.041667,8.328084,2.66,250.71758,258.77316,508.63513,19.560184,204.24141,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.75916,172.12051,10.00463,8.32405,2.66,250.71758,258.77316,508.76315,19.550926,204.15973,1.0960526,1.2568284,954.15155,406.3584
171.25461,143.57344,172.18347,10.034722,8.31962,2.66,250.64815,258.8426,508.89114,19.560184,204.07806,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.57344,172.18347,10.034722,8.315142,2.66,250.71758,258.8426,509.01157,19.56713,203.99635,1.0960526,1.2568284,954.2464,406.3584
171.25461,143.75916,172.12051,10.027779,8.310261,2.66,250.71758,258.8426,509.13696,19.56713,203.9555,1.0960526,1.2568284,954.15155,406.3584
171.25461,143.38777,172.75023,10.041667,8.2997,2.66,250.64815,258.8426,509.39056,19.56713,203.8194,1.0960526,1.2568284,954.15155,406.3584
171.25461,143.48059,172.3724,10.041667,8.294082,2.66,250.71758,258.8426,509.51108,19.560184,203.77858,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.57344,172.18347,10.041667,8.287768,2.66,250.71758,258.8426,509.63913,19.543982,203.69688,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.57344,172.02603,10.027779,8.28111,2.66,250.71758,258.8426,509.76718,19.553242,203.64243,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.48059,172.3724,9.997685,8.274398,2.66,250.64815,258.8426,509.89273,19.530092,203.58798,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.48059,172.18347,10.048612,8.267092,2.66,250.71758,258.8426,510.02084,19.550926,203.51993,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.3724,10.034722,8.2596855,2.66,250.71758,258.77316,510.13898,19.56713,203.45187,1.0960526,1.2568284,954.2464,406.3584
179.2396,143.38777,172.75023,10.020833,8.250943,2.66,250.71758,258.77316,510.26743,19.56713,203.41103,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.18347,10.048612,8.241823,2.66,250.71758,258.8426,510.396,19.560184,203.35661,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.3724,10.041667,8.232567,2.66,250.71758,258.77316,510.52213,19.56713,203.30217,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.57344,172.12051,10.041667,8.223426,2.66,250.71758,258.77316,510.6433,19.56713,203.26132,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.38777,173.12798,10.041667,8.204064,2.66,250.71758,258.8426,510.8985,19.56713,203.15244,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.38777,172.9391,10.034722,8.19416,2.66,250.71758,258.77316,511.02737,19.550926,203.11163,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.38777,173.12798,9.99537,8.184563,2.66,250.71758,258.75,511.14865,19.56713,203.07079,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.46687,10.041667,8.174543,2.66,250.64815,258.77316,511.27496,19.560184,203.01636,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.56133,10.034722,8.1641035,2.66,250.64815,258.8426,511.40372,19.560184,202.97554,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.38777,172.9391,10.034722,8.144736,2.66,250.71758,258.8426,511.65814,19.560184,202.89386,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.38777,173.12798,10.055555,8.136381,2.66,250.64815,258.8426,511.7814,19.56713,202.85306,1.0960526,1.2568284,953.8669,406.3584
179.2396,143.57344,172.65578,10.078704,8.127972,2.66,250.71758,258.77316,511.90717,19.56713,202.81223,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.57344,172.18347,10.043982,8.119592,2.66,250.71758,258.8426,512.0329,19.553242,202.75778,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.38777,172.9391,10.034722,8.1112385,2.66,250.71758,258.77316,512.1611,19.543982,202.73059,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.48059,172.9391,10.046296,8.1031475,2.66,250.64815,258.77316,512.28674,19.560184,202.71698,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.75916,172.65578,10.041667,8.095359,2.66,250.71758,258.77316,512.40985,19.56713,202.66255,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.75916,172.65578,10.0023155,8.087349,2.66,250.71758,258.8426,512.53784,19.560184,202.63531,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.75916,172.56133,10.034722,8.07959,2.66,250.71758,258.75,512.6632,19.56713,202.5809,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.46687,10.041667,8.071863,2.66,250.64815,258.77316,512.7909,19.56713,202.55368,1.0960526,1.2568284,953.77203,406.3584
179.2396,143.57344,172.46687,10.041667,8.064567,2.66,250.71758,258.77316,512.9111,19.560184,202.54007,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.57344,172.65578,10.041667,8.056662,2.66,250.71758,258.75,513.0389,19.537037,202.47205,1.0960526,1.2568284,954.15155,406.3584
179.2396,143.38777,173.12798,10.0023155,8.048775,2.66,250.64815,258.77316,513.1643,19.564816,202.45844,1.0960526,1.2568284,953.96173,406.3584
179.2396,143.38777,173.03354,10.034722,8.040478,2.66,250.64815,258.77316,513.29224,19.530092,202.39041,1.0960526,1.2568284,953.77203,406.3584
179.2396,143.38777,173.03354,10.041667,8.032763,2.66,250.64815,258.8426,513.4126,19.56713,202.3768,1.0960526,1.2568284,953.77203,406.3584
179.2396,143.48059,173.03354,10.025463,8.024879,2.66,250.71758,258.77316,513.5379,19.56713,202.33597,1.0960526,1.2568284,953.77203,406.3584
